방송사,카테고리,내용요약
KBS,사회,"미국발 관세로 인해 아시아 전역에 공포가 확산되었으며, 한국의 코스피와 코스닥 지수가 각각 5% 이상 폭락했습니다. 외국인 투자자들은 대규모 매도를 진행하며 시장에 혼란을 가중시켰습니다. 또한, 일본에서는 교도소에서 돌봄을 받기 위해 일부러 범죄를 저지르는 노인들이 증가하고 있습니다. 이는 사회적 돌봄 시스템의 부족을 반영하는 현상으로, 노인들이 교도소를 일종의 피난처로 삼고 있는 상황입니다."
KBS,국제,"미국의 관세 정책으로 인해 일본, 중국, 홍콩, 타이완 등 아시아 주요 국가들의 증시가 큰 폭으로 하락했습니다. 유럽 증시도 큰 폭의 하락세를 보이며, 전 세계적으로 금융 시장에 불안감이 확산되고 있습니다. 또한, 러시아와 우크라이나 간의 휴전 논의가 다시 긴장 상태에 놓였습니다. 러시아가 우크라이나에 대규모 공습을 재개하면서 어린이를 포함한 많은 사상자가 발생했습니다. 우크라이나는 미국의 강력한 대응을 촉구하고 있으며, 프랑스도 러시아에 대한 강력한 조치를 요구하고 있습니다."
KBS,경제,"원달러 환율이 급등하며 원화 가치가 하락했습니다. 이는 2020년 3월 이후 가장 큰 하루 변동폭을 기록했습니다. 미국과 중국 간의 관세 갈등이 심화되면서 글로벌 경제에 부정적인 영향을 미치고 있습니다. 또한, 북한이 평양 국제마라톤 대회를 6년 만에 재개하며 외국인 관광을 본격적으로 재개할 가능성이 높아졌습니다. 관광 수익은 유엔 대북 제재 대상이 아니기 때문에 북한의 중요한 외화벌이 수단으로 주목받고 있습니다."
KBS,기타,"트럼프 대통령은 증시 폭락에도 불구하고 골프 영상을 소셜미디어에 올리며, 관세 정책에 대한 강한 의지를 보였습니다. 이는 시장의 불안감을 더욱 증폭시키고 있습니다."
MBC,정치,"김건휘 여사가 윤석열 전 대통령 부부의 공천 개입 의혹과 관련하여 검찰에 출석할 예정이며, 윤 전 대통령은 내란 혐의로 재판을 받고 있습니다. 국민의힘은 윤 전 대통령의 당원 신분을 대선 때까지 유지하기로 결정했습니다. 트럼프 대통령은 무역 문제 해결을 위해 관세 부과를 강행하고 있으며, 대중국 무역 문제가 해결되지 않으면 협상하지 않겠다고 밝혔습니다."
MBC,사회,"김건휘 여사가 경호상의 이유로 출석 조사를 피했으나, 윤 전 대통령의 파면으로 더 이상 시간을 끌기 어려운 상황입니다. 한국 증시가 트럼프발 관세 충격으로 큰 폭으로 하락했으며, 경남 하동군에서 산불이 발생해 주민들이 대피소에 모였습니다."
MBC,국제,"트럼프 대통령의 관세 정책으로 인해 전 세계 증시가 큰 타격을 받고 있으며, 아시아와 유럽 증시가 급락세를 보이고 있습니다. 50개 이상의 국가가 협상을 요청하고 있습니다."
MBC,경제,"여론조사 비용 미지급 문제와 관련하여 명태균 씨가 윤 전 대통령 당선 시 외상값을 갚겠다는 의사를 전달했습니다. 트럼프 대통령의 관세 정책으로 인해 전 세계 증시가 폭락하고 있으며, 한국은행은 금융당국과 함께 유동성 공급에 100조 원을 투입하겠다고 밝혔습니다."
MBC,기타,"윤 전 대통령의 내란 혐의와 관련된 형사 재판이 일주일 뒤에 본격화될 예정입니다. 정부는 6월 3일을 대통령 선거일로 잠정 결정했으며, 국무총리가 이를 정식으로 공고할 예정입니다. SSG의 외국인 투수 미치 화이트가 KBO 리그 데뷔를 앞두고 있으며, 주니어 세계선수권에서 임종원이 1,500m에서 우승했습니다."
MBN,정치,"이재명 더불어민주당 대표는 개헌 국민투표 제안을 거부하며 내란 종식이 우선이라고 밝혔습니다. 국민의힘은 개헌과 대선을 동시에 실시하자는 제안을 수용했으나, 민주당 내에서는 비판이 나왔습니다."
MBN,사회,민주당 내에서는 우원식 국회의장의 개헌 발표가 사전 협의 없이 진행되었다는 점에서 비판의 목소리가 나왔습니다.
MBN,국제,미국발 관세전쟁의 영향으로 코스피가 폭락하고 환율이 급증하는 등 경제적 불안이 가중되고 있습니다.
MBN,경제,"코스피가 미국발 관세전쟁 공포로 인해 폭락하며 사이드카가 발동되었고, 환율은 급증했습니다."
MBN,기타,"윤석열 전 대통령의 내란 혐의 첫 형사재판이 곧 시작될 예정이며, 검찰은 김건희 여사에 대한 소환 조사를 추진 중입니다."
채널A,정치,"대선을 앞두고 개헌 논의가 주요 이슈로 부상하고 있으며, 우원식 국회의장은 대선과 개헌 국민 투표를 동시에 진행하자고 제안했으나, 이재명 더불어민주당 대표는 대선 후 개헌을 주장하며 반대했습니다. 국민의힘은 대선 경선관리위원회를 출범시키며 대선 레이스를 시작했습니다. 안철수 의원은 대선 출마를 공식화하며 경선 경쟁자들과의 연대를 제안했습니다."
채널A,사회,"서울시가 자동차세 체납 차량에 대한 집중 단속을 실시하고 있으며, 경남 하동에서 산불이 발생해 주민들이 긴급 대피했습니다. 시청역 역주행 사고와 관련하여 운전자가 급발진을 주장했으나, 1심 재판부는 이를 인정하지 않았습니다."
채널A,국제,"도널드 트럼프 미국 대통령의 관세 정책으로 인해 미국과 중국 간의 무역 갈등이 심화되고 있으며, 북한은 코로나19로 중단했던 평양국제마라톤 대회를 6년 만에 재개했습니다. 프란치스코 교황이 폐렴 치료 후 바티칸 성 베드로광장에서 신도들과 인사를 나누었습니다."
채널A,경제,"트럼프 대통령의 관세 정책으로 인해 미국 내 경기 침체 우려가 커지고 있으며, 북한 전문 여행사가 마라톤 대회와 관광지 관람을 묶은 패키지 상품을 판매했습니다. 서울시가 한강공원에서 배달 음식을 다회용기로 제공하는 서비스를 시작했습니다."
채널A,기타,"경기평택 미군기지에서 열린 군견 대회에서 군견들이 다양한 능력을 겨루었으며, 기상청은 경북 산불 확산 당시의 기압 패턴이 이번 주 다시 나타나고 있다며 주의를 당부했습니다."
