방송사,카테고리,내용요약
MBN,정치,"윤석열 대통령의 탄핵 심판이 헌법재판소에서 진행 중이며, 정치권은 결과에 따라 큰 영향을 받을 것으로 보입니다. 김건희 여사 연루 의혹이 제기된 도이치모터스 주가 조작 사건 관련자들이 대법원에서 유죄가 확정되었습니다."
MBN,사회,"헌법재판소 주변과 광화문에서 탄핵 찬반 집회가 열리고 있으며, 경찰은 비상 근무 체제를 유지하고 있습니다. 서울과 경기도에서 버스 무정차 문제가 심각하며, 이에 대한 민원이 1만 5천 건에 달합니다."
MBN,국제,"트럼프 미국 대통령이 상호 관세를 발표하며, 한국을 포함한 여러 국가에 높은 관세를 부과했습니다. 중국 스파이가 한국의 군 기밀 정보를 캐내려다 체포되었으며, 이들은 한미연합훈련 자료를 노렸습니다."
MBN,경제,"트럼프 대통령의 관세 정책으로 인해 한국 기업들은 수출에 타격을 입을 것으로 예상되며, 금융시장에도 영향을 미치고 있습니다. 중국 전기차 업체 비아디가 한국 시장에 본격적으로 진출하며, 현대차는 다양한 분야에 24.3조 원의 투자를 계획하고 있습니다."
MBN,기타,"가수 빅뱅의 멤버 지드래곤의 콘서트 예매와 비교될 정도로 헌법재판소의 탄핵 심판에 대한 관심이 높습니다. 김연경 선수의 V리그 챔피언 결정전에서의 활약과 은퇴를 앞둔 상황이 주목받고 있으며, 봄꽃 소식과 날씨 정보가 제공됩니다."
채널A,정치,"헌법재판소의 윤석열 대통령 탄핵 심판을 앞두고 여야 간 갈등이 심화되고 있으며, 이재명 더불어민주당 대표는 대통령 파면을 촉구했습니다. 트럼프 전 미국 대통령은 한국에 26%의 관세를 부과하려는 방침을 발표했습니다."
채널A,사회,"헌법재판소의 탄핵 심판 선고를 앞두고 사회적 긴장감이 고조되고 있으며, 경찰은 시위에 대비해 서울 도심에 기동대를 배치했습니다. 대구의 한 대학병원에서는 간호사가 신생아 사진을 SNS에 올려 학대 논란이 발생했습니다."
채널A,국제,"트럼프 전 미국 대통령의 상호 관세 부과 방침이 전 세계적으로 경악을 불러일으켰고, 각국은 대응을 준비 중입니다. 미국에서 한국 라면 제품에 대한 관세 부과로 현지 생산을 하지 않는 기업들이 타격을 입고 있습니다."
채널A,경제,"트럼프 행정부의 상호 관세 부과는 한국 경제에 큰 영향을 미칠 것으로 보이며, 한국 기업들이 높은 관세로 어려움을 겪고 있습니다. 특히 삼성전자는 베트남에서 생산한 스마트폰의 미국 수출에 관세 부담이 커질 전망입니다."
채널A,기타,"헌법재판소의 재판관들은 탄핵 심판 결정을 준비 중이며, 트럼프 대통령은 관세 부과 발표 중 퍼포먼스를 펼쳤습니다."
